DATE,TMIN
4/4/2015,31
4/5/2015,38
4/6/2015,37
4/7/2015,35
4/8/2015,29
4/9/2015,27
4/10/2015,38
4/11/2015,40
4/12/2015,39
4/13/2015,39
4/14/2015,38
4/15/2015,27
4/16/2015,23
4/17/2015,23
4/18/2015,23
4/19/2015,36
4/20/2015,38
4/21/2015,39
4/22/2015,41
4/23/2015,40
4/24/2015,34
4/25/2015,32
4/26/2015,31
4/27/2015,35
4/28/2015,36
4/29/2015,40
4/30/2015,46
5/1/2015,51
5/2/2015,47
5/3/2015,45
5/4/2015,42
5/5/2015,40
5/6/2015,37
5/7/2015,38
5/8/2015,34
5/9/2015,28
5/10/2015,29
5/11/2015,33
5/12/2015,39
5/13/2015,39
5/14/2015,44
5/15/2015,32
5/16/2015,32
5/17/2015,33
5/18/2015,40
5/19/2015,34
5/20/2015,37
5/21/2015,38
5/22/2015,35
5/23/2015,34
5/24/2015,34
5/25/2015,36
5/26/2015,39
5/27/2015,43
5/28/2015,48
5/29/2015,45
5/30/2015,46
5/31/2015,52
6/1/2015,55
6/2/2015,52
6/3/2015,52
6/4/2015,51
6/5/2015,45
6/6/2015,44
6/7/2015,46
6/8/2015,46
6/9/2015,53
6/10/2015,52
6/11/2015,47
6/12/2015,46
6/13/2015,48
6/14/2015,49
6/15/2015,50
6/16/2015,53
6/17/2015,56
6/18/2015,59
6/19/2015,60
6/20/2015,60
6/21/2015,61
6/22/2015,63
6/23/2015,61
6/24/2015,56
6/25/2015,56
6/26/2015,60
6/27/2015,59
6/28/2015,57
6/29/2015,58
6/30/2015,61
7/1/2015,62
7/2/2015,57
7/3/2015,56
7/4/2015,54
7/5/2015,55
7/6/2015,54
7/7/2015,49
7/8/2015,46
7/9/2015,47
7/10/2015,48
7/11/2015,50
7/12/2015,52
7/13/2015,53
7/14/2015,53
7/15/2015,50
7/16/2015,53
7/17/2015,54
7/18/2015,54
7/19/2015,51
7/20/2015,54
7/21/2015,52
7/22/2015,56
7/23/2015,59
7/24/2015,58
7/25/2015,55
7/26/2015,60
7/27/2015,57
7/28/2015,58
7/29/2015,57
7/30/2015,54
7/31/2015,55
8/1/2015,57
8/2/2015,54
8/3/2015,51
8/4/2015,56
8/5/2015,59
8/6/2015,65
8/7/2015,52
8/8/2015,50
8/9/2015,52
8/10/2015,57
8/11/2015,54
8/12/2015,54
8/13/2015,60
8/14/2015,61
8/15/2015,60
8/16/2015,59
8/17/2015,59
8/18/2015,58
8/19/2015,57
8/20/2015,55
8/21/2015,58
8/22/2015,56
8/23/2015,56
8/24/2015,53
8/25/2015,56
8/26/2015,53
8/27/2015,51
8/28/2015,54
8/29/2015,56
8/30/2015,58
8/31/2015,54
9/1/2015,53
9/2/2015,56
9/3/2015,54
